Data,Categoria,Subcategoria
11/01/2025,DESCUMPRIMENTO DE ORDEM JUDICIAL/MEDIDA PROTETIVA,DESCUMPRIMENTO DE ORDEM JUDICIAL/MEDIDA PROTETIVA
11/01/2025,ABANDONO DE INCAPAZ,ABANDONO DE INCAPAZ
11/01/2025,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
11/01/2025,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
11/01/2025,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
11/01/2025,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
11/01/2025,PERTURBAÇÃO DA TRANQUILIDADE,PERTURBAÇÃO DA TRANQUILIDADE
11/01/2025,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
11/01/2025,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
11/01/2025,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
11/01/2025,COMUNICAÇÃO DE CRIME AMBIENTAL,COMUNICAÇÃO DE CRIME AMBIENTAL
11/01/2025,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
11/01/2025,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
11/01/2025,ACIDENTE DE TRÂNSITO SEM VÍTIMA,ACIDENTE DE TRÂNSITO SEM VÍTIMA
11/01/2025,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
11/01/2025,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
11/01/2025,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
11/01/2025,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
11/01/2025,COMUNICAÇÃO DE CRIME AMBIENTAL,COMUNICAÇÃO DE CRIME AMBIENTAL
11/01/2025,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
11/01/2025,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
11/01/2025,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
11/01/2025,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
11/01/2025,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
12/01/2025,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
11/01/2025,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
11/01/2025,RECUPERAÇÃO DE VEICULO,RECUPERAÇÃO DE VEICULO
12/01/2025,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
12/01/2025,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
12/01/2025,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
12/01/2025,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
12/01/2025,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
12/01/2025,ABORDAGEM A VEÍCULO,ABORDAGEM A VEÍCULO
12/01/2025,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
12/01/2025,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
12/01/2025,ABORDAGEM A VEÍCULO,ABORDAGEM A VEÍCULO
12/01/2025,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
12/01/2025,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
12/01/2025,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
12/01/2025,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
12/01/2025,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
12/01/2025,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
12/01/2025,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
12/01/2025,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
12/01/2025,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
12/01/2025,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
12/01/2025,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
12/01/2025,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
12/01/2025,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
12/01/2025,DESCUMPRIMENTO DE ORDEM JUDICIAL/MEDIDA PROTETIVA,DESCUMPRIMENTO DE ORDEM JUDICIAL/MEDIDA PROTETIVA
